Time,Lon,Lat,Temp,Sal,Turb,Flu,Year,Month,Day,YDay,Hour,Lat_round,Northbound,MDay
2008-05-30 02:29:36,10.9796,55.4113,13.72,10.18,0.588,2.022,2008,5,2008-05-30,151,2.48333,55.4125,FALSE,30
2008-05-30 02:30:37,10.985,55.4073,13.7,10.25,0.594,2.069,2008,5,2008-05-30,151,2.5,55.4125,FALSE,30
2008-05-30 02:31:37,10.9905,55.4032,13.567,10.339,0.599,2.013,2008,5,2008-05-30,151,2.51667,55.4125,FALSE,30
2008-05-30 02:32:38,10.9961,55.3992,13.548,10.464,0.58,1.951,2008,5,2008-05-30,151,2.53333,55.3875,FALSE,30
2008-05-30 02:33:38,11.0018,55.3951,13.486,10.462,0.615,1.808,2008,5,2008-05-30,151,2.55,55.3875,FALSE,30
2008-05-30 02:34:39,11.0074,55.3909,13.491,10.37,0.621,1.928,2008,5,2008-05-30,151,2.56667,55.3875,FALSE,30
2008-05-30 02:35:39,11.0129,55.3868,13.158,10.341,0.599,1.863,2008,5,2008-05-30,151,2.58333,55.3875,FALSE,30
2008-05-30 02:36:40,11.0177,55.3825,13.356,10.387,0.642,1.747,2008,5,2008-05-30,151,2.6,55.3875,FALSE,30
2008-05-30 02:37:40,11.0219,55.3779,13.741,10.368,0.635,1.792,2008,5,2008-05-30,151,2.61667,55.3875,FALSE,30
2008-05-30 02:38:41,11.0254,55.3732,13.854,10.372,0.611,1.793,2008,5,2008-05-30,151,2.63333,55.3625,FALSE,30
2008-05-30 02:39:41,11.0279,55.3683,13.904,10.345,0.619,1.819,2008,5,2008-05-30,151,2.65,55.3625,FALSE,30
2008-05-30 02:40:42,11.0295,55.3632,13.648,10.314,0.637,1.774,2008,5,2008-05-30,151,2.66667,55.3625,FALSE,30
2008-05-30 02:41:42,11.0302,55.3581,13.243,10.237,0.631,1.785,2008,5,2008-05-30,151,2.68333,55.3625,FALSE,30
2008-05-30 02:42:43,11.0304,55.3529,13.216,9.989,0.629,1.675,2008,5,2008-05-30,151,2.7,55.3625,FALSE,30
2008-05-30 02:43:43,11.0305,55.3478,13.247,9.841,0.635,1.672,2008,5,2008-05-30,151,2.71667,55.3375,FALSE,30
2008-05-30 02:44:44,11.0305,55.3426,13.272,9.795,0.642,1.565,2008,5,2008-05-30,151,2.73333,55.3375,FALSE,30
2008-05-30 16:15:10,11.0408,55.3538,13.54,9.856,0.543,1.411,2008,5,2008-05-30,151,16.25,55.3625,TRUE,30
2008-05-30 16:16:01,11.0404,55.3592,13.633,9.888,0.545,1.404,2008,5,2008-05-30,151,16.2667,55.3625,TRUE,30
2008-05-30 16:17:02,11.0392,55.3647,13.788,9.93,0.549,1.515,2008,5,2008-05-30,151,16.2833,55.3625,TRUE,30
2008-05-30 16:18:02,11.0367,55.3704,13.83,9.95,0.541,1.46,2008,5,2008-05-30,151,16.3,55.3625,TRUE,30
2008-05-30 16:19:03,11.0326,55.3758,13.787,9.977,0.556,1.508,2008,5,2008-05-30,151,16.3167,55.3875,TRUE,30
2008-05-30 16:20:03,11.0272,55.3809,13.741,9.967,0.558,1.508,2008,5,2008-05-30,151,16.3333,55.3875,TRUE,30
2008-05-30 16:21:04,11.0213,55.3859,13.754,9.959,0.554,1.583,2008,5,2008-05-30,151,16.35,55.3875,TRUE,30
2008-05-30 16:22:04,11.0155,55.3909,13.788,9.955,0.531,1.513,2008,5,2008-05-30,151,16.3667,55.3875,TRUE,30
2008-05-30 16:23:05,11.0099,55.3959,13.75,9.948,0.57,1.524,2008,5,2008-05-30,151,16.3833,55.3875,TRUE,30
2008-05-30 16:24:05,11.0043,55.4009,13.614,9.99,0.556,1.501,2008,5,2008-05-30,151,16.4,55.4125,TRUE,30
2008-05-30 16:25:06,10.999,55.4058,13.586,10.072,0.572,1.486,2008,5,2008-05-30,151,16.4167,55.4125,TRUE,30
2008-05-30 16:26:06,10.9929,55.4104,13.594,10.116,0.594,1.488,2008,5,2008-05-30,151,16.4333,55.4125,TRUE,30
2008-05-30 16:27:07,10.9864,55.4147,13.667,10.123,0.553,1.47,2008,5,2008-05-30,151,16.45,55.4125,TRUE,30
2008-06-13 02:44:00,10.9816,55.409,15.857,14.805,0.584,2.868,2008,6,2008-06-13,165,2.73333,55.4125,FALSE,13
2008-06-13 02:45:01,10.9879,55.4044,15.766,14.826,0.525,2.914,2008,6,2008-06-13,165,2.75,55.4125,FALSE,13
2008-06-13 02:46:01,10.9941,55.3999,15.778,14.882,0.551,2.885,2008,6,2008-06-13,165,2.76667,55.3875,FALSE,13
2008-06-13 02:47:02,11.0003,55.3954,15.782,14.984,0.531,2.824,2008,6,2008-06-13,165,2.78333,55.3875,FALSE,13
2008-06-13 02:48:02,11.0066,55.3909,15.62,15.002,0.523,2.78,2008,6,2008-06-13,165,2.8,55.3875,FALSE,13
2008-06-13 02:49:03,11.0128,55.3864,15.646,14.865,0.515,2.699,2008,6,2008-06-13,165,2.81667,55.3875,FALSE,13
2008-06-13 02:50:03,11.0185,55.3815,15.705,13.701,0.525,2.284,2008,6,2008-06-13,165,2.83333,55.3875,FALSE,13
2008-06-13 02:51:04,11.0233,55.3765,15.729,13.054,0.535,2.137,2008,6,2008-06-13,165,2.85,55.3875,FALSE,13
2008-06-13 02:52:04,11.0272,55.3711,15.775,12.884,0.621,1.925,2008,6,2008-06-13,165,2.86667,55.3625,FALSE,13
2008-06-13 02:53:05,11.0301,55.3658,15.682,12.836,0.684,1.887,2008,6,2008-06-13,165,2.88333,55.3625,FALSE,13
2008-06-13 02:54:05,11.0316,55.3605,15.607,12.942,0.822,1.927,2008,6,2008-06-13,165,2.9,55.3625,FALSE,13
2008-06-13 02:55:06,11.0321,55.3551,15.498,13.224,0.881,1.973,2008,6,2008-06-13,165,2.91667,55.3625,FALSE,13
2008-06-13 02:55:58,11.0321,55.3498,15.536,13.682,0.856,2.024,2008,6,2008-06-13,165,2.91667,55.3375,FALSE,13
2008-06-13 02:56:58,11.0322,55.3445,15.673,14.003,0.883,2.153,2008,6,2008-06-13,165,2.93333,55.3375,FALSE,13
2008-06-13 16:26:49,11.0415,55.3571,16.039,14.712,0.907,2.993,2008,6,2008-06-13,165,16.4333,55.3625,TRUE,13
2008-06-13 16:27:50,11.0416,55.3628,15.993,14.758,0.907,3.034,2008,6,2008-06-13,165,16.45,55.3625,TRUE,13
2008-06-13 16:28:50,11.0405,55.3685,15.96,14.778,0.883,3.11,2008,6,2008-06-13,165,16.4667,55.3625,TRUE,13
2008-06-13 16:29:51,11.0377,55.374,15.877,14.664,0.918,2.998,2008,6,2008-06-13,165,16.4833,55.3625,TRUE,13
2008-06-13 16:30:51,11.0333,55.3791,15.79,14.488,0.909,2.766,2008,6,2008-06-13,165,16.5,55.3875,TRUE,13
